true_label,feature,delta_sign,mdri_base,mdri_mut,mdri_change
Myopathy,RMS Envelope (RMSE),plus,99.9628,99.9687,0.0059
Myopathy,Standard Deviation (SD),minus,57.1847,57.1671,-0.0177
Myopathy,Standard Deviation (SD),plus,57.1847,57.3174,0.1327
Myopathy,Integrated EMG (IEMG),minus,57.1847,53.9228,-3.2620
Myopathy,Integrated EMG (IEMG),plus,57.1847,46.7920,-10.3927
Myopathy,Turn Count (TC),minus,57.1847,45.5682,-11.6165
Myopathy,Turn Count (TC),plus,57.1847,76.5386,19.3539
Myopathy,Willison Amplitude (WAMP),minus,57.1847,46.5756,-10.6092
Myopathy,Willison Amplitude (WAMP),plus,57.1847,54.3037,-2.8810
Myopathy,Motor Unit Action Potential (MUAP),minus,57.1847,57.0606,-0.1242
Myopathy,Motor Unit Action Potential (MUAP),plus,57.1847,44.3708,-12.8139
Myopathy,Total Power (TP),minus,57.1847,56.7580,-0.4268
Myopathy,Total Power (TP),plus,57.1847,42.5267,-14.6580
Myopathy,Variance of Central Frequency (VCF),minus,57.1847,55.0296,-2.1551
Myopathy,Variance of Central Frequency (VCF),plus,57.1847,45.3419,-11.8428
Myopathy,RMS Envelope (RMSE),minus,57.1847,49.6975,-7.4872
Myopathy,RMS Envelope (RMSE),plus,57.1847,59.7386,2.5538
Myopathy,Standard Deviation (SD),minus,94.2135,96.8343,2.6208
Myopathy,Standard Deviation (SD),plus,94.2135,95.5260,1.3125
Myopathy,Integrated EMG (IEMG),minus,94.2135,96.5089,2.2954
Myopathy,Integrated EMG (IEMG),plus,94.2135,95.9405,1.7270
Myopathy,Turn Count (TC),minus,94.2135,91.0623,-3.1512
Myopathy,Turn Count (TC),plus,94.2135,98.4032,4.1897
Myopathy,Willison Amplitude (WAMP),minus,94.2135,91.1760,-3.0375
Myopathy,Willison Amplitude (WAMP),plus,94.2135,98.2690,4.0555
Myopathy,Motor Unit Action Potential (MUAP),minus,94.2135,98.5604,4.3468
Myopathy,Motor Unit Action Potential (MUAP),plus,94.2135,93.7861,-0.4274
Myopathy,Total Power (TP),minus,94.2135,94.9717,0.7582
Myopathy,Total Power (TP),plus,94.2135,92.3840,-1.8295
Myopathy,Variance of Central Frequency (VCF),minus,94.2135,98.7414,4.5279
Myopathy,Variance of Central Frequency (VCF),plus,94.2135,84.5036,-9.7099
Myopathy,RMS Envelope (RMSE),minus,94.2135,94.4972,0.2837
Myopathy,RMS Envelope (RMSE),plus,94.2135,96.1982,1.9847
Neuropathy,Standard Deviation (SD),minus,84.2921,88.8149,4.5229
Neuropathy,Standard Deviation (SD),plus,84.2921,89.9901,5.6980
Neuropathy,Integrated EMG (IEMG),minus,84.2921,85.3301,1.0380
Neuropathy,Integrated EMG (IEMG),plus,84.2921,84.4188,0.1267
Neuropathy,Turn Count (TC),minus,84.2921,85.0654,0.7733
Neuropathy,Turn Count (TC),plus,84.2921,83.8272,-0.4649
Neuropathy,Willison Amplitude (WAMP),minus,84.2921,85.6632,1.3711
Neuropathy,Willison Amplitude (WAMP),plus,84.2921,88.8770,4.5850
Neuropathy,Motor Unit Action Potential (MUAP),minus,84.2921,93.5243,9.2322
Neuropathy,Motor Unit Action Potential (MUAP),plus,84.2921,95.5388,11.2467
Neuropathy,Total Power (TP),minus,84.2921,83.9091,-0.3830
Neuropathy,Total Power (TP),plus,84.2921,86.1398,1.8477
Neuropathy,Variance of Central Frequency (VCF),minus,84.2921,96.8449,12.5528
Neuropathy,Variance of Central Frequency (VCF),plus,84.2921,85.9167,1.6246
Neuropathy,RMS Envelope (RMSE),minus,84.2921,86.4213,2.1292
Neuropathy,RMS Envelope (RMSE),plus,84.2921,91.0635,6.7714
Neuropathy,Standard Deviation (SD),minus,99.1331,99.1540,0.0209
Neuropathy,Standard Deviation (SD),plus,99.1331,98.9039,-0.2292
Neuropathy,Integrated EMG (IEMG),minus,99.1331,98.5972,-0.5359
Neuropathy,Integrated EMG (IEMG),plus,99.1331,99.3651,0.2321
Neuropathy,Turn Count (TC),minus,99.1331,98.4771,-0.6560
Neuropathy,Turn Count (TC),plus,99.1331,99.3478,0.2148
Neuropathy,Willison Amplitude (WAMP),minus,99.1331,99.6060,0.4729
Neuropathy,Willison Amplitude (WAMP),plus,99.1331,98.7484,-0.3847
Neuropathy,Motor Unit Action Potential (MUAP),minus,99.1331,99.6756,0.5426
Neuropathy,Motor Unit Action Potential (MUAP),plus,99.1331,97.7088,-1.4243
Neuropathy,Total Power (TP),minus,99.1331,97.1745,-1.9586
Neuropathy,Total Power (TP),plus,99.1331,99.7800,0.6470
